BankID,Name,BranchName,RoutingNumber
76033207,U.S. Bank,North Patrick,641686426
39697743,Goldman Sachs Bank,Jayton,309345715
87451692,Chase,Jayton,271357950
14589305,Capital One,North Patrick,557576254
12409716,Wells Fargo,New Margaret,456632051
21077921,Wells Fargo,Port Mark,250362822
46264809,Chase,Stevenville,951795231
22632821,Bank of America,Port Mark,721844160
90079264,Goldman Sachs Bank,Stevenville,328109744
50736126,Bank of America,Scottbury,554749405
59181519,Capital One,Scottbury,390964595
29369239,Wells Fargo,Scottbury,395502140
41087230,Chase,New Hunter,212689918
81352293,Citibank,New Margaret,241629461
41046679,Goldman Sachs Bank,Port Mark,294233242
80257887,Capital One,New Hunter,684812380
12907760,Citibank,Port Mark,979148968
76461901,U.S. Bank,East Judith,923164450
60581823,Bank of America,New Allison,743827394
77441705,Bank of America,Jayton,877900877
93574729,U.S. Bank,New Hunter,826084719
58525202,Wells Fargo,Jayton,754213974
40716801,Capital One,Stevenville,871816621
17178471,Citibank,East Judith,801294013
11569464,Wells Fargo,New Allison,771390278
22135191,Capital One,Port Mark,837371627
72565719,Citibank,Scottbury,801760340
81972872,Citibank,Jayton,246473662
80287087,U.S. Bank,West Shawn,769825177
19918798,Wells Fargo,West Shawn,919836447
65785496,Capital One,East Judith,233409346
69598209,Citibank,West Shawn,395998024
12322955,Chase,New Allison,990771656
22459364,Goldman Sachs Bank,New Margaret,952627816
32264006,Bank of America,North Patrick,366139061
63064216,Goldman Sachs Bank,East Judith,645869356
64741389,Chase,North Patrick,440310853
67777959,Capital One,New Margaret,998956849
55798973,Chase,Scottbury,575922211
25223326,Citibank,New Allison,172135595
92707769,Goldman Sachs Bank,Scottbury,931802294
13871080,Wells Fargo,North Patrick,962800055
20758115,Capital One,Jayton,725056532
51710843,Goldman Sachs Bank,West Shawn,550496141
42672546,Bank of America,East Judith,375319449
79497184,U.S. Bank,Stevenville,109888134
16698795,Chase,East Judith,128395686
12549576,Wells Fargo,East Judith,592294046
86893602,U.S. Bank,Port Mark,152066022
37753542,U.S. Bank,New Allison,997760460
56863141,Bank of America,New Hunter,985999915
12180519,Wells Fargo,New Hunter,949143918
27727923,U.S. Bank,Jayton,846296448
74290792,Goldman Sachs Bank,New Hunter,184770024
21813819,Goldman Sachs Bank,New Allison,936264983
20265646,U.S. Bank,Scottbury,633250885
64452737,Capital One,New Allison,784739512
92114008,Citibank,North Patrick,895750534
84037897,U.S. Bank,New Margaret,741041569
97544214,Goldman Sachs Bank,North Patrick,507727349
